id,host_id,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,Location
875051989257118197,185394663,within an hour,100%,100%,Tanunda,-34.516116,138.9668595,Entire home,Entire home/apt,6,2 baths,4.0,[],$357.00,4,4,1,2023-10-22,2023-12-03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.82,barossa_valley_sa
884565926441716482,57979524,within a few hours,100%,86%,Eden Valley,-34.638353774065166,139.09871242940426,Entire home,Entire home/apt,3,1 bath,2.0,[],$174.00,9,9,0,2023-05-22,2023-11-06,4.56,4.56,4.67,5.0,4.78,5.0,4.67,1.23,barossa_valley_sa
886723096462681317,507533752,within an hour,100%,100%,Nuriootpa,-34.48203,138.99297,Entire guest suite,Entire home/apt,2,1 bath,1.0,[],$254.00,41,41,3,2023-05-28,2023-12-20,5.0,4.95,5.0,5.0,5.0,4.93,4.95,5.77,barossa_valley_sa
892251887601842416,284867983,within an hour,100%,100%,Nuriootpa,-34.46841,138.957,Entire home,Entire home/apt,12,3 baths,6.0,[],"$1,495.00",9,9,0,2023-07-16,2023-11-11,5.0,5.0,4.89,4.89,4.89,4.89,4.67,1.65,barossa_valley_sa
910502962189532573,19654974,within a few hours,100%,100%,Tanunda,-34.51049,138.96668,Entire home,Entire home/apt,6,2 baths,3.0,[],$398.00,16,16,2,2023-09-02,2023-12-11,4.94,4.94,4.94,4.94,4.94,4.83,4.78,4.14,barossa_valley_sa
910682658818665405,496094184,within an hour,100%,100%,Angaston,-34.500722,139.049761,Entire guest suite,Entire home/apt,4,1 bath,2.0,[],$263.00,48,48,10,2023-08-27,2023-12-23,4.88,4.85,4.92,5.0,4.98,4.94,4.85,11.8,barossa_valley_sa
912619147152856719,93828490,within an hour,100%,100%,Penrice,-34.48764551097864,139.04503959358584,Entire home,Entire home/apt,4,1.5 baths,2.0,[],$359.00,11,11,3,2023-10-01,2023-12-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.79,barossa_valley_sa
913230078821818136,397924132,within an hour,100%,92%,Lyndoch,-34.58306,138.87635,Entire home,Entire home/apt,11,2.5 baths,7.0,[],"$1,130.00",4,4,2,2023-11-08,2023-12-12,4.5,4.75,5.0,4.75,5.0,4.75,4.75,2.45,barossa_valley_sa
914716018649867579,497989134,within an hour,100%,100%,Marananga,-34.48872,138.92192,Entire cabin,Entire home/apt,2,1 bath,1.0,[],$611.00,7,7,1,2023-09-24,2023-11-30,4.43,4.43,4.43,5.0,5.0,5.0,3.71,2.23,barossa_valley_sa
914818738058069285,439331891,within an hour,100%,100%,Nuriootpa,-34.465983086151816,138.97227611218938,Entire home,Entire home/apt,8,2 baths,4.0,[],$318.00,6,6,1,2023-07-27,2023-12-09,4.5,4.33,4.67,4.67,5.0,4.83,4.67,1.18,barossa_valley_sa
939408136486547449,526804970,within an hour,100%,100%,Tanunda,-34.5155895,138.9692573,Entire home,Entire home/apt,5,1 bath,3.0,[],$341.00,10,10,3,2023-10-08,2023-12-14,4.7,4.9,4.9,4.9,5.0,4.8,4.4,3.75,barossa_valley_sa
944576687530909206,439331891,within an hour,100%,100%,Flaxman Valley,-34.66934815778004,139.02030410324505,Entire home,Entire home/apt,6,2 baths,4.0,[],$391.00,3,3,1,2023-10-02,2023-12-09,5.0,5.0,4.67,5.0,5.0,4.67,4.67,1.05,barossa_valley_sa
