id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,Location
37919297,71211876,2016-05-09,"Port Fairy, Australia",within an hour,100%,100%,f,t,t,Moyne,-38.381,142.23949,Entire cottage,Entire home/apt,2,1 bath,1.0,[],$256.00,173,44,4,2019-09-22,2023-12-25,4.88,4.96,4.99,4.98,4.97,4.97,4.84,1,1,0,0,3.33,barwon_south_west_vic
37925966,282969138,2019-08-05,"Torquay, Australia",within a day,80%,51%,f,t,t,Surf Coast,-38.3095,144.33363,Private room in home,Private room,2,1 shared bath,1.0,[],$130.00,14,0,0,2020-01-10,2022-11-20,4.79,4.71,4.57,4.86,4.86,4.36,4.79,7,1,6,0,0.29,barwon_south_west_vic
37951491,287724742,2019-08-21,"Newtown, Australia",within an hour,100%,99%,t,t,t,Greater Geelong,-38.14864,144.32473,Entire rental unit,Entire home/apt,2,1 bath,1.0,[],$164.00,290,78,3,2019-09-06,2023-12-21,4.99,4.99,4.99,4.96,4.96,4.95,4.97,1,1,0,0,5.53,barwon_south_west_vic
37972445,53105784,2016-01-03,"Washington, DC",within an hour,100%,100%,t,t,t,Colac Otway,-38.65623,143.70969,Entire home,Entire home/apt,2,1 bath,1.0,[],$352.00,73,7,1,2019-12-28,2023-12-20,4.84,4.89,4.9,4.99,4.99,4.86,4.58,2,2,0,0,1.5,barwon_south_west_vic
38000338,2377195,2012-05-15,"Lorne, Australia",within an hour,100%,98%,t,t,t,Surf Coast,-38.5508,143.9579,Entire cottage,Entire home/apt,7,2 baths,5.0,[],$668.00,129,24,0,2019-09-08,2023-11-23,4.94,4.89,4.87,4.93,4.85,4.95,4.75,5,5,0,0,2.46,barwon_south_west_vic
38085494,51678707,2015-12-18,"Torquay, Australia",within an hour,100%,95%,t,t,t,Surf Coast,-38.34477,144.30096,Entire home,Entire home/apt,7,2 baths,4.0,[],$712.00,1,1,1,2023-12-24,2023-12-24,4.0,5.0,5.0,3.0,5.0,5.0,5.0,153,153,0,0,1.0,barwon_south_west_vic
38115723,121131547,2017-03-16,"Melbourne, Australia",within an hour,100%,98%,f,t,t,Colac Otway,-38.75258,143.66869,Entire townhouse,Entire home/apt,4,2.5 baths,2.0,[],$545.00,112,46,5,2021-04-17,2023-12-16,4.92,4.93,4.85,4.96,4.96,4.95,4.85,2,2,0,0,3.41,barwon_south_west_vic
38136976,289728156,2019-08-27,Australia,within a few hours,100%,88%,t,t,t,Greater Geelong,-38.18274,144.40888,Entire guest suite,Entire home/apt,4,1 bath,4.0,[],$200.00,71,6,0,2019-09-15,2023-11-25,4.73,4.86,4.99,4.87,4.87,4.72,4.73,1,1,0,0,1.36,barwon_south_west_vic
38137810,173429646,2018-02-14,"Bells Beach, Australia",within an hour,100%,97%,t,t,t,Surf Coast,-38.34063,144.30203,Entire home,Entire home/apt,10,2 baths,5.0,[],$765.00,31,2,0,2020-02-01,2023-06-12,4.87,4.94,4.58,5.0,4.97,4.94,4.74,43,43,0,0,0.65,barwon_south_west_vic
38142644,27567813,2015-02-11,"Victoria, Australia",within an hour,100%,44%,f,t,t,Surf Coast,-38.31581,144.32596,Entire home,Entire home/apt,10,2.5 baths,7.0,[],$600.00,13,2,0,2020-01-03,2023-04-11,5.0,4.92,4.92,5.0,5.0,4.92,4.77,1,1,0,0,0.27,barwon_south_west_vic
38170290,34570204,2015-05-30,"Grovedale, Australia",within a few hours,100%,92%,f,t,t,Greater Geelong,-38.20708,144.33005,Private room in home,Private room,2,2 shared baths,2.0,[],$88.00,12,0,0,2019-10-18,2021-01-29,4.58,4.67,4.42,4.92,4.92,5.0,4.58,3,0,3,0,0.23,barwon_south_west_vic
38193219,129562,2010-05-21,"Apollo Bay, Australia",within an hour,100%,100%,t,t,t,Colac Otway,-38.6389547,143.8901724,Entire home,Entire home/apt,6,2 baths,4.0,[],$720.00,18,3,0,2019-10-04,2023-05-22,4.5,4.5,4.39,4.72,4.83,4.89,4.44,47,47,0,0,0.35,barwon_south_west_vic
38216733,85229543,2016-07-22,"Victoria, Australia",within an hour,100%,98%,t,t,t,Queenscliffe,-38.27038,144.65803,Barn,Entire home/apt,2,1 bath,1.0,[],$251.00,262,78,6,2019-09-21,2023-12-22,4.97,4.96,5.0,4.99,4.96,4.96,4.81,1,1,0,0,5.04,barwon_south_west_vic
38278064,10909823,2013-12-30,"Ocean Grove, Australia",within an hour,100%,100%,f,t,t,Greater Geelong,-38.099315,144.3738347,Entire home,Entire home/apt,6,1 bath,4.0,[],$268.00,5,5,2,2023-10-22,2023-12-10,4.83,5.0,4.8,5.0,5.0,4.6,5.0,1,1,0,0,2.24,barwon_south_west_vic
38298098,129562,2010-05-21,"Apollo Bay, Australia",within an hour,100%,100%,t,t,t,Colac Otway,-38.6321654,143.8936113,Entire home,Entire home/apt,6,2.5 baths,3.0,[],"$1,088.00",15,2,0,2020-01-18,2023-02-01,4.67,4.67,4.67,4.73,4.8,4.87,4.4,47,47,0,0,0.31,barwon_south_west_vic
38314747,291320322,2019-09-03,"Apollo Bay, Australia",within an hour,99%,100%,t,t,f,Colac Otway,-38.75148,143.66262,Entire rental unit,Entire home/apt,6,1.5 baths,4.0,[],$999.00,248,67,5,2019-09-24,2023-12-23,4.81,4.84,4.85,4.92,4.93,4.87,4.74,8,6,2,0,4.78,barwon_south_west_vic
38339955,16881061,2014-06-16,Australia,within an hour,100%,100%,t,t,t,Colac Otway,-38.75779,143.66602,Entire home,Entire home/apt,10,2.5 baths,6.0,[],"$1,157.00",123,32,3,2019-10-01,2023-12-09,4.95,4.97,4.91,4.99,4.99,4.93,4.78,1,1,0,0,2.38,barwon_south_west_vic
38370946,129211960,2017-05-07,"Timboon, Australia",within an hour,100%,100%,t,t,t,Moyne,-38.60132,142.86309,Entire home,Entire home/apt,10,1.5 baths,4.0,[],$253.00,137,26,2,2019-11-25,2023-12-06,4.91,4.96,4.84,4.97,4.99,4.82,4.74,11,11,0,0,2.75,barwon_south_west_vic
38412809,292068385,2019-09-04,"Lake Bolac, Australia",within an hour,100%,100%,t,t,t,Warrnambool,-38.39336,142.5008,Entire home,Entire home/apt,6,2 baths,3.0,[],$553.00,49,6,0,2019-09-30,2023-07-02,5.0,4.96,4.92,5.0,5.0,4.98,4.73,1,1,0,0,0.95,barwon_south_west_vic
38441694,292778627,2019-09-07,"Torquay, Australia",within an hour,100%,100%,t,t,t,Surf Coast,-38.34865,144.29961,Entire home,Entire home/apt,5,1 bath,3.0,[],$386.00,203,56,4,2019-09-21,2023-12-16,4.92,4.91,4.92,4.98,4.98,4.97,4.82,1,1,0,0,3.91,barwon_south_west_vic
38445597,291320322,2019-09-03,"Apollo Bay, Australia",within an hour,99%,100%,t,t,f,Colac Otway,-38.75179,143.66317,Private room in guest suite,Private room,2,1 private bath,1.0,[],$299.00,120,19,1,2019-09-27,2023-11-29,4.78,4.85,4.88,4.95,4.91,4.88,4.69,8,6,2,0,2.32,barwon_south_west_vic
38493408,243045561,2019-02-14,"Port Campbell, Australia",within an hour,100%,100%,f,t,t,Corangamite,-38.62067,142.998657,Entire home,Entire home/apt,6,2 baths,8.0,[],$400.00,124,35,2,2019-09-26,2023-12-23,4.85,4.91,4.89,4.98,5.0,4.95,4.71,1,1,0,0,2.39,barwon_south_west_vic
